시장명,x좌표,y좌표
사창시장, 36.634050807222586, 127.4646470969321
사창시장, 36.634048654849124, 127.4645719950826
사창시장, 36.63414120685424, 127.46457735950042
사창시장, 36.634156273449214, 127.46412943061235
사창시장, 36.63396686461251, 127.46415088828363
사창시장, 36.63388507428911, 127.46417771037274
사창시장, 36.63388292191099, 127.46420989687968
사창시장, 36.633850636232225, 127.46420721467076
사창시장, 36.63383772195451, 127.46377269679438
사창시장, 36.63384417909243, 127.46323893722118
사창시장, 36.633596655084936, 127.46326039489246
사창시장, 36.633570826447034, 127.46422867230919
사창시장, 36.633222138988, 127.46426085881613
사창시장, 36.63321137700429, 127.46463636806364
사창시장, 36.63333621592297, 127.46466319015272
사창시장, 36.63334697788923, 127.46484021594085
사창시장, 36.63347827375332, 127.4648455803942
